"Name","PD Notation"
"TU_1","[[1;1;2;2]]"
"TU_2","[[1;1;2;4];[4;2;3;3]]"
"TU_3","[[1;1;2;6];[6;2;5;3];[3;5;4;4]]"
"TU_4","[[1;1;2;8];[8;2;7;3];[3;7;4;6];[6;4;5;5]]"
"TU_5","[[1;1;2;10];[10;2;9;3];[3;9;4;8];[8;4;7;5];[5;7;6;6]]"
"TU_6","[[1;1;2;12];[12;2;11;3];[3;11;4;10];[10;4;9;5];[5;9;6;8];[8;6;7;7]]"
"TU_7","[[1;1;2;14];[14;2;13;3];[3;13;4;12];[12;4;11;5];[5;11;6;10];[10;6;9;7];[7;9;8;8]]"
"TU_8","[[1;1;2;16];[16;2;15;3];[3;15;4;14];[14;4;13;5];[5;13;6;12];[12;6;11;7];[7;11;8;10];[10;8;9;9]]"
"TU_9","[[1;1;2;18];[18;2;17;3];[3;17;4;16];[16;4;15;5];[5;15;6;14];[14;6;13;7];[7;13;8;12];[12;8;11;9];[9;11;10;10]]"
"TU_10","[[1;1;2;20];[20;2;19;3];[3;19;4;18];[18;4;17;5];[5;17;6;16];[16;6;15;7];[7;15;8;14];[14;8;13;9];[9;13;10;12];[12;10;11;11]]"
"TU_11","[[1;1;2;22];[22;2;21;3];[3;21;4;20];[20;4;19;5];[5;19;6;18];[18;6;17;7];[7;17;8;16];[16;8;15;9];[9;15;10;14];[14;10;13;11];[11;13;12;12]]"
"TU_12","[[1;1;2;24];[24;2;23;3];[3;23;4;22];[22;4;21;5];[5;21;6;20];[20;6;19;7];[7;19;8;18];[18;8;17;9];[9;17;10;16];[16;10;15;11];[11;15;12;14];[14;12;13;13]]"
"TU_13","[[1;1;2;26];[26;2;25;3];[3;25;4;24];[24;4;23;5];[5;23;6;22];[22;6;21;7];[7;21;8;20];[20;8;19;9];[9;19;10;18];[18;10;17;11];[11;17;12;16];[16;12;15;13];[13;15;14;14]]"
